"X1","X2"
"1.1.2022","Den obnovy samostatného českého státu, Nový rok"
"15.4.2022","Velký pátek"
"18. 4. 2022","Velikonoční pondělí"
"1.5.2022","Svátek práce"
"8.5.2022","Den osvobození"
"5. 7. 2022","Den slovanských věrozvěstů Cyrila a Metoděje"
"6.7.2022","Den upálení mistra Jana Husa"
"28.9.2022","Den české státnosti"
"28. 10. 2022","Den vzniku samostatného československého státu"
"17.11.2022","Den boje za svobodu a demokracii"
"24.12.2022","Štědrý den"
"25.12.2022","1. svátek vánoční"
"26.12.2022","2. svátek vánoční"
