teplota,rychlost_vitr,max_naraz_vitr,vlhkost,uhrn_srazky,tlak,mesic,y
19.2,0.6,10.8,94,12.6,1007.116499,9,1
15.1,2.0,11.4,64,0.0,1016.544746,9,0
15.3,0.8,6.4,70,0.0,1019.923534,9,0
17.0,0.9,8.0,70,0.0,1013.585624,9,0
15.8,1.9,11.4,67,0.0,1013.116874,9,0
14.5,0.6,9.2,69,1.5,1019.42985,9,1
12.2,0.7,6.3,89,0.0,1014.713156,9,0
13.8,0.6,5.5,80,9.5,1013.250305,9,1
12.8,3.2,15.6,89,11.0,1004.278767,9,1
12.8,0.5,6.9,80,0.0,1014.589572,9,0
14.2,0.4,5.6,78,0.0,1020.110913,9,0
15.4,0.5,6.5,83,0.0,1024.578802,9,0
18.5,1.4,8.3,79,0.0,1025.58194,9,0
13.6,0.5,5.2,71,0.0,1027.978579,9,0
15.8,0.6,6.7,78,0.0,1019.443934,9,0
16.3,1.0,6.8,75,0.2,1014.974423,9,1
13.4,2.7,13.6,65,0.0,1013.831017,9,0
11.8,4.1,13.1,60,0.0,1020.209599,9,0
8.9,0.8,9.8,65,0.0,1024.238097,9,0
9.3,0.5,7.6,73,0.0,1026.577743,9,0
10.3,0.5,5.2,77,0.0,1021.7346,9,0
11.9,0.8,5.8,75,0.0,1013.29494,9,0
13.7,0.4,4.1,75,0.0,1011.626951,9,0
14.6,0.0,4.2,87,1.1,1010.19935,9,1
13.0,1.8,10.4,88,4.1,1005.896888,9,1
15.9,0.9,5.3,79,2.6,1010.471201,9,1
15.2,0.4,9.3,93,4.0,1009.213102,9,1
14.3,1.8,10.0,78,0.0,1011.351471,9,0
16.9,2.3,9.2,63,0.0,1004.938631,9,0
14.7,3.4,19.3,67,0.0,1002.820709,9,0
15.5,2.8,14.4,83,5.2,1003.740922,10,1
8.8,1.3,10.4,89,0.7,1003.733013,10,1
9.5,2.3,11.9,84,0.6,1011.931059,10,1
9.3,0.4,6.3,88,11.7,1008.231621,10,1
8.2,0.5,11.2,90,0.5,1008.682256,10,1
7.0,0.9,6.0,74,0.0,1017.109322,10,0
4.4,0.6,4.9,79,0.0,1018.054336,10,0
8.3,0.2,2.2,99,11.5,1011.219666,10,1
10.9,1.8,7.9,86,0.3,1002.744697,10,1
9.8,2.5,11.7,75,0.2,984.40934,10,1
10.2,1.0,13.0,85,0.0,1015.786833,10,0
14.5,1.1,11.9,75,0.0,1012.86727,10,0
14.2,0.0,2.7,84,0.0,1013.83069,10,0
