datum;teplota;uhrn_srazky_1;rychlost_vitr;max_naraz_vitr;vlhkost;vypar;uhrn_srazky_2;tlak
01.09.2019;19,2;20,1;0,6;10,8;94;0;12,6;1007,116499
02.09.2019;15,1;0;2;11,4;64;0;0;1016,544746
03.09.2019;15,3;0;0,8;6,4;70;0;0;1019,923534
04.09.2019;17;0;0,9;8;70;0;0;1013,585624
05.09.2019;15,8;0;1,9;11,4;67;0;0;1013,116874
06.09.2019;14,5;0,8;0,6;9,2;69;0;1,5;1019,429850
07.09.2019;12,2;1,1;0,7;6,3;89;0;0;1014,713156
08.09.2019;13,8;16;0,6;5,5;80;0;9,5;1013,250305
09.09.2019;12,8;10,5;3,2;15,6;89;0;11;1004,278767
10.09.2019;12,8;0;0,5;6,9;80;0;0;1014,589572
11.09.2019;14,2;0;0,4;5,6;78;0;0;1020,110913
12.09.2019;15,4;0;0,5;6,5;83;0;0;1024,578802
13.09.2019;18,5;0;1,4;8,3;79;0;0;1025,581940
14.09.2019;13,6;0;0,5;5,2;71;0;0;1027,978579
15.09.2019;15,8;0;0,6;6,7;78;0;0;1019,443934
16.09.2019;16,3;0,3;1;6,8;75;0;0,2;1014,974423
17.09.2019;13,4;0,2;2,7;13,6;65;0;0;1013,831017
18.09.2019;11,8;0;4,1;13,1;60;0;0;1020,209599
19.09.2019;8,9;0;0,8;9,8;65;0;0;1024,238097
20.09.2019;9,3;0;0,5;7,6;73;0;0;1026,577743
21.09.2019;10,3;0;0,5;5,2;77;0;0;1021,734600
22.09.2019;11,9;0;0,8;5,8;75;0;0;1013,294940
23.09.2019;13,7;0,1;0,4;4,1;75;0;0;1011,626951
24.09.2019;14,6;0,7;0;4,2;87;0;1,1;1010,199350
25.09.2019;13;1,2;1,8;10,4;88;0;4,1;1005,896888
26.09.2019;15,9;2,7;0,9;5,3;79;0;2,6;1010,471201
27.09.2019;15,2;3,4;0,4;9,3;93;0;4;1009,213102
28.09.2019;14,3;0;1,8;10;78;0;0;1011,351471
29.09.2019;16,9;0;2,3;9,2;63;0;0;1004,938631
30.09.2019;14,7;0,8;3,4;19,3;67;0;0;1002,820709
01.10.2019;15,5;3,5;2,8;14,4;83;0;5,2;1003,740922
02.10.2019;8,8;0,8;1,3;10,4;89;0;0,7;1003,733013
03.10.2019;9,5;1,6;2,3;11,9;84;0;0,6;1011,931059
04.10.2019;9,3;13,2;0,4;6,3;88;0;11,7;1008,231621
05.10.2019;8,2;0,1;0,5;11,2;90;0;0,5;1008,682256
06.10.2019;7;0;0,9;6;74;0;0;1017,109322
07.10.2019;4,4;0;0,6;4,9;79;0;0;1018,054336
08.10.2019;8,3;9,1;0,2;2,2;99;0;11,5;1011,219666
09.10.2019;10,9;0,3;1,8;7,9;86;0;0,3;1002,744697
10.10.2019;9,8;0,2;2,5;11,7;75;0;0,2;984,409340
11.10.2019;10,2;0;1;13;85;0;0;1015,786833
12.10.2019;14,5;0;1,1;11,9;75;0;0;1012,867270
13.10.2019;14,2;0;0;2,7;84;0;0;1013,830690
14.10.2019;12,4;0;0,9;3;87;0;0;1013,954020
15.10.2019;13,8;2,5;0,4;3,5;90;0;2,4;1007,092520
16.10.2019;12,9;0,2;2,2;12,8;79;0;0,1;1010,054437
17.10.2019;9,1;0,7;0;2;89;0;0,2;1014,126695
18.10.2019;13,1;0,2;0,6;4,6;86;0;0;1010,704872
19.10.2019;11,5;0,1;0,6;3,7;89;0;0;1009,462940
20.10.2019;11;0;0,2;4,3;96;0;0;1011,381952
21.10.2019;11;0;0,2;3,6;95;0;0;1016,731847
22.10.2019;12,1;0;0,2;3,9;90;0;0;1020,423767
23.10.2019;14,8;0;0,4;4,8;89;0;0;1015,053989
24.10.2019;12,9;0;0,8;4,1;93;0;0;1009,552479
25.10.2019;11,6;0;1,4;8,8;83;0;0;1018,148086
26.10.2019;9,5;0;0,1;2,7;88;0;0;1018,391211
27.10.2019;9,3;2,5;1,1;10,9;86;0;2,2;1017,063559
28.10.2019;5,5;0;0,9;6,5;80;0;0;1020,608746
29.10.2019;4,5;0;0,5;5,9;80;0;0;1023,463510
30.10.2019;4;0;1;5,3;76;0;0;1028,077388
31.10.2019;-0,3;0;0,2;3;82;0;0;1025,364944
01.11.2019;3,3;7,7;1;3,6;90;0;9;1014,982732
02.11.2019;6,5;0,7;0;2,3;100;0;0,7;999,998638
03.11.2019;8,4;4,9;0,6;3,9;96;0;5,9;992,866107
04.11.2019;8,9;0,8;1,2;10,3;91;0;1;992,432323
